event,universe,sample,daily_volatility_cutoff,horizon_days,signal_count,tradeable_count,stock_count,year_count,mean_gross_return,median_gross_return,gross_up_rate,mean_net_return,median_net_return,net_up_rate,mean_benchmark_return,mean_excess_return,median_excess_return,mean_net_return_ci95_low,mean_net_return_ci95_high
连续两日放量,全部沪深A股,全部信号,0.015,1,62383,62234,4653,16,0.0020965692002610867,0.0,0.478725455538773,0.0004940960497733913,-0.0015991204837340067,0.4595719381688466,0.001295212162014069,0.0008013570382470178,-0.0018165141452790579,-0.0005734233231842015,0.001561615422730984
连续两日放量,全部沪深A股,全部信号,0.015,3,62383,62045,4653,16,0.0035062982307166968,-0.0010830917633990467,0.48347167378515593,0.001901570753659885,-0.002680480252908457,0.4639052300749456,0.003086119623836777,0.000420178606879919,-0.0038358695913384144,-0.0012998576035285966,0.0051029991108483665
连续两日放量,全部沪深A股,全部信号,0.015,5,62383,61967,4653,16,0.003384640469479911,-0.0020507263987828983,0.47964239030451694,0.001780107537841099,-0.003646567523925892,0.4643923378572466,0.003482355143672553,-9.771467419264243e-05,-0.004859162460881583,-0.001980946359135834,0.0055411614348180325
连续两日放量,全部沪深A股,全部信号,0.015,10,62383,61860,4653,16,0.004593778781064555,-0.0013050786205739962,0.4898318784351762,0.0029873122915840193,-0.0029021121263529404,0.47767539605560944,0.00444307981064874,0.0001506989704158145,-0.006134089476946825,-0.003780437731521717,0.009755062314689755
连续两日放量,全部沪深A股,全部信号,0.015,20,62383,61629,4653,16,0.00880360014760603,-0.001747537573590141,0.49084035113339497,0.007190401646545398,-0.003343863534194136,0.4830193577698811,0.00833913900748659,0.0004644611401194412,-0.009136352797728398,-0.004494518916596694,0.01887532220968749
连续两日放量,全部沪深A股,全部信号,0.01,1,10450,10427,2272,16,0.0020922491654775627,0.0,0.48336050637767336,0.0004897829232459806,-0.0015991204837338957,0.46005562482017837,0.0018545368914810426,0.00023771227399651951,-0.001709381902151641,-0.00105079938793986,0.0020303652344318213
连续两日放量,全部沪深A股,全部信号,0.01,3,10450,10402,2272,16,0.0033021781021767733,-8.731395856581559e-05,0.48961738127283216,0.0016977770377986513,-0.0016862948167601366,0.4630840223034032,0.0034523684097107774,-0.00015019030753400417,-0.003117278231709375,-0.001866230860150154,0.005261784935747456
连续两日放量,全部沪深A股,全部信号,0.01,5,10450,10385,2272,16,0.0030339274036210295,-0.0005929170949349194,0.48849301877708234,0.0014299553044297454,-0.002191089432797222,0.46894559460760715,0.004100028615838141,-0.0010661012122171124,-0.0043231956079599065,-0.003052361002829653,0.005912271611689144
连续两日放量,全部沪深A股,全部信号,0.01,10,10450,10379,2272,16,0.002540259518590207,-5.39913752548582e-05,0.4960015415743328,0.0009370768538260368,-0.0016530255202746869,0.48097119182965603,0.004532343851709798,-0.0019920843331195912,-0.005635933289329875,-0.005918792492028747,0.007792946199680821
连续两日放量,全部沪深A股,全部信号,0.01,20,10450,10347,2272,16,0.0014153798135095944,-0.004266147797771791,0.47327727843819467,-0.00018600403307644371,-0.005858446197175904,0.46477239779646273,0.006249225368065109,-0.004833845554555514,-0.010138545057226445,-0.011369855284323964,0.010997847218171075
