sample,year,horizon_days,signal_count,tradeable_count,stock_count,mean_gross_return,median_gross_return,gross_up_rate,mean_net_return,mean_excess_return
全部沪深A股，日波动率不高于1.5%,2015,5,278,277,175,0.04872122514355452,0.039099993032468916,0.8375451263537906,0.04704419355070086,0.015560426033977273
全部沪深A股，日波动率不高于1.5%,2015,10,278,276,175,0.09853343597882612,0.0889061229467738,0.9239130434782609,0.09677674865928569,0.023615383413284792
全部沪深A股，日波动率不高于1.5%,2015,20,278,269,175,0.17171084828532993,0.16714078232902807,0.9256505576208178,0.16983714146682352,0.00895469649269656
全部沪深A股，日波动率不高于1.5%,2016,1,1728,1722,968,0.0014887588783344045,-0.00152377601172482,0.44715447154471544,-0.00011274231021727003,0.0005631391550353571
全部沪深A股，日波动率不高于1.5%,2016,3,1728,1716,968,0.0022791013794292284,-0.002391002652593399,0.46386946386946387,0.0006763363379948879,0.00045406932419643205
全部沪深A股，日波动率不高于1.5%,2016,5,1728,1713,968,0.002402488213576124,-0.0014328882801186715,0.4816112084063047,0.0007995258617278769,-0.0005721216182370315
全部沪深A股，日波动率不高于1.5%,2016,10,1728,1705,968,-4.499826516895321e-05,-0.0037736096892996285,0.4574780058651026,-0.0016440467912553773,-0.0050979273880643414
全部沪深A股，日波动率不高于1.5%,2016,20,1728,1690,968,-0.006348656194205162,-0.009796099859902097,0.4408284023668639,-0.007937624411774811,-0.007874036553390999
全部沪深A股，日波动率不高于1.5%,2017,1,3096,3084,1535,0.001793725523324786,0.0,0.49319066147859925,0.00019173665636424992,0.0004823761594176871
全部沪深A股，日波动率不高于1.5%,2017,3,3096,3062,1535,5.8921577117087125e-05,-0.002760866369284465,0.45003265839320705,-0.0015402931293178052,-0.002154121389182225
全部沪深A股，日波动率不高于1.5%,2017,5,3096,3051,1535,-0.00231857809517677,-0.004800105716663561,0.4369059324811537,-0.003913990893185628,-0.005892247702212182
全部沪深A股，日波动率不高于1.5%,2017,10,3096,3037,1535,-0.004600309732450351,-0.008258449414732305,0.42377346065195914,-0.006192073766659666,-0.011041472713081531
全部沪深A股，日波动率不高于1.5%,2017,20,3096,3004,1535,-0.016492862781869937,-0.020627565034310513,0.3788282290279627,-0.018065609190894023,-0.028184795815807732
全部沪深A股，日波动率不高于1.5%,2018,1,1712,1708,926,-0.0018794459880314299,-0.0018642053894507016,0.4332552693208431,-0.0034755610111878907,-0.001752505432551709
全部沪深A股，日波动率不高于1.5%,2018,3,1712,1695,926,-0.010946782123998952,-0.00996907635548916,0.35811209439528024,-0.012528397384207487,-0.007188893068127315
全部沪深A股，日波动率不高于1.5%,2018,5,1712,1688,926,-0.02012158608729283,-0.015496376001738588,0.34834123222748814,-0.021688529730549414,-0.01318615488138447
全部沪深A股，日波动率不高于1.5%,2018,10,1712,1674,926,-0.0303911362707859,-0.02131895992026628,0.35603345280764637,-0.03194165766598532,-0.018092618341085536
全部沪深A股，日波动率不高于1.5%,2018,20,1712,1665,926,-0.04789975861033089,-0.04465194013786744,0.31771771771771773,-0.04942228160890518,-0.01913142710878326
全部沪深A股，日波动率不高于1.5%,2019,1,3393,3392,1493,0.0020351267523794478,0.0,0.4852594339622642,0.0004327518557687281,0.0013676022867324996
全部沪深A股，日波动率不高于1.5%,2019,3,3393,3390,1493,0.007419469197800698,0.004544849473149037,0.5640117994100295,0.005808484088894068,-0.0008694060863838558
全部沪深A股，日波动率不高于1.5%,2019,5,3393,3390,1493,0.016161454179383482,0.010474174344070608,0.5985250737463127,0.014536489583224312,0.0010670007476291708
全部沪深A股，日波动率不高于1.5%,2019,10,3393,3383,1493,0.03642493052540468,0.026026260210895824,0.702926396689329,0.03476756218914892,0.009920912143187336
全部沪深A股，日波动率不高于1.5%,2019,20,3393,3384,1493,0.04946867220809896,0.035815241411559784,0.6864657210401891,0.04779044535733387,0.01600039435496009
