sample,close_position,horizon_days,signal_count,tradeable_count,stock_count,mean_gross_return,median_gross_return,gross_up_rate,mean_net_return,mean_excess_return
全部沪深A股，日波动率不高于1.5%,中间三分之一,1,15933,15900,3740,0.002278910492131028,0.0,0.47371069182389935,0.000676145755948472,0.0013363949705793533
全部沪深A股，日波动率不高于1.5%,中间三分之一,3,15933,15853,3740,0.0036676059886148345,-0.0007382243548501588,0.48356777896928027,0.0020626205610181836,0.0012979767515093844
全部沪深A股，日波动率不高于1.5%,中间三分之一,5,15933,15841,3740,0.0047393795439755896,-0.0006706425067855015,0.4920775203585632,0.0031326802213326355,0.0010031568884109093
全部沪深A股，日波动率不高于1.5%,中间三分之一,10,15933,15797,3740,0.006643194136187964,0.00010546044632064877,0.5022472621383807,0.005033450384633372,0.0013183458200443346
全部沪深A股，日波动率不高于1.5%,中间三分之一,20,15933,15718,3740,0.009626503827458884,-0.0017451074909820563,0.49172922763710397,0.008011989404267662,0.0019501646233304373
全部沪深A股，日波动率不高于1.5%,底部三分之一,1,9887,9872,3308,0.004391175414686085,0.0019199937101312958,0.5263371150729336,0.0027850329123987987,0.0019470526248027999
全部沪深A股，日波动率不高于1.5%,底部三分之一,3,9887,9849,3308,0.008708934285440431,0.0015769356207644414,0.5200527972382983,0.007095887166499097,0.0028686890217617623
全部沪深A股，日波动率不高于1.5%,底部三分之一,5,9887,9840,3308,0.008834163229770903,0.0011144349925101826,0.5108739837398374,0.007220915854659535,0.002504315145012693
全部沪深A股，日波动率不高于1.5%,底部三分之一,10,9887,9815,3308,0.01048522532673099,0.002169355249570959,0.518695873662761,0.008869337704400454,0.0037198630968273906
全部沪深A股，日波动率不高于1.5%,底部三分之一,20,9887,9786,3308,0.01325776828863663,0.001812635796871298,0.5081749437972614,0.011637447036063684,0.003092950647574591
全部沪深A股，日波动率不高于1.5%,顶部三分之一,1,7569,7553,2958,0.0013437862185352663,0.0,0.46352442737984906,-0.000257483141266545,0.00031348869312000237
全部沪深A股，日波动率不高于1.5%,顶部三分之一,3,7569,7526,2958,0.0006905713153089945,-0.0024708955998269944,0.4659845867658783,-0.0009096534751607885,-0.0009335630833567718
全部沪深A股，日波动率不高于1.5%,顶部三分之一,5,7569,7514,2958,-0.0006202970128542042,-0.003823137868384563,0.45568272557891937,-0.0022184255669289443,-0.0024418956760822105
全部沪深A股，日波动率不高于1.5%,顶部三分之一,10,7569,7498,2958,0.0010016610299651409,-0.0031247549629675464,0.4722592691384369,-0.0005990612304396267,-0.0030047453039412832
全部沪深A股，日波动率不高于1.5%,顶部三分之一,20,7569,7475,2958,0.00628848511552001,-0.0025095324015937948,0.4873578595317726,0.0046793085864261326,-0.002131600764455319
当日沪深300，不限波动率,中间三分之一,1,8402,8358,754,0.0025235215970381445,0.0,0.47798516391481216,0.0009203656982271842,0.0010738146091177072
当日沪深300，不限波动率,中间三分之一,3,8402,8313,754,0.0036865524989969957,-0.0022441294191074546,0.4747985083603994,0.002081536773647497,0.0005540285166951591
当日沪深300，不限波动率,中间三分之一,5,8402,8296,754,0.004825851457760061,-0.0015427314058285013,0.4869816779170685,0.0032190138561085063,0.0001832767365329047
当日沪深300，不限波动率,中间三分之一,10,8402,8280,754,0.008948761214040236,-0.0008158920542377102,0.4945652173913043,0.00733533058294483,-5.593931495677008e-05
当日沪深300，不限波动率,中间三分之一,20,8402,8280,754,0.011436943802487054,-0.005547887062614998,0.47729468599033814,0.009819534267647189,-0.003152441835342261
当日沪深300，不限波动率,底部三分之一,1,5377,5358,721,0.006975405125538739,0.003719466896512258,0.5604703247480403,0.005365130128586156,0.0033573422145225917
当日沪深300，不限波动率,底部三分之一,3,5377,5337,721,0.011757179528651622,0.002030050302802122,0.5207045156454937,0.010139257898302426,0.004798399913865086
当日沪深300，不限波动率,底部三分之一,5,5377,5336,721,0.011488632187614626,0.0012140954475201582,0.5093703148425787,0.009871139996819335,0.003332478734558106
当日沪深300，不限波动率,底部三分之一,10,5377,5303,721,0.014301131088709874,0.0033251497527131413,0.5231001320007543,0.012679141373311359,0.0033993156896030075
当日沪深300，不限波动率,底部三分之一,20,5377,5308,721,0.015953655781868182,-0.0026911748504753197,0.489638281838734,0.014329023480382968,-9.31409235464738e-05
当日沪深300，不限波动率,顶部三分之一,1,3556,3534,705,-0.00031835916675173215,-0.0016652702174111411,0.4518958687040181,-0.0019169705558209874,0.0004025367611945247
当日沪深300，不限波动率,顶部三分之一,3,3556,3518,705,-0.0035570909847442217,-0.004978850052022421,0.44542353610005686,-0.005150523251422002,-0.003451264828975342
当日沪深300，不限波动率,顶部三分之一,5,3556,3501,705,-0.0022715611175164693,-0.004932208976440533,0.4570122822050843,-0.0038670491013373842,-0.003432741815833365
当日沪深300，不限波动率,顶部三分之一,10,3556,3486,705,0.002686915370580554,-0.0034769601085063995,0.4759036144578313,0.0010834981854394062,-0.0030784051392968286
当日沪深300，不限波动率,顶部三分之一,20,3556,3493,705,0.011173523846804366,-0.0026291025320523964,0.4909819639278557,0.00955653555221146,-0.0025923239631172393
